id,project_a,project_b,weight_a,weight_b,project_a_star_count,project_a_fork_count,project_a_watcher_count,project_a_contributors_count,project_a_Readme_score,project_a_technical_innovation,project_a_community_engagement,project_a_accessibility,project_b_star_count,project_b_fork_count,project_b_watcher_count,project_b_contributors_count,project_b_Readme_score,project_b_technical_innovation,project_b_community_engagement,project_b_accessibility
2,https://github.com/prettier-solidity/prettier-plugin-solidity,https://github.com/nomicfoundation/hardhat,0.10166851950,0.89833148050,731,75,12,21,4.5,4.0,3.5,4.0,7.4k,1.5k,77,373,4.5,4.8,4.7,4.3
3,https://github.com/prettier-solidity/prettier-plugin-solidity,https://github.com/consensys/teku,0.66944575473,0.33055424527,731,75,12,21,4.5,4.0,3.5,4.0,692,304,34,109,4.5,4.0,4.0,3.5
4,https://github.com/prettier-solidity/prettier-plugin-solidity,https://github.com/ethereum/solidity,0.44902172113,0.55097827887,731,75,12,21,4.5,4.0,3.5,4.0,23.7k,5.9k,732,636,4.5,4.8,4.7,4.2
5,https://github.com/prettier-solidity/prettier-plugin-solidity,https://github.com/ethereum/remix-project,0.49839639443,0.50160360557,731,75,12,21,4.5,4.0,3.5,4.0,2.5k,1k,68,181,4.5,4.8,4.2,4.0
6,https://github.com/prettier-solidity/prettier-plugin-solidity,https://github.com/ethereum/go-ethereum,0.27250272366,0.72749727634,731,75,12,21,4.5,4.0,3.5,4.0,48.1k,20.4k,2.2k,"1,111",4.5,4.8,4.7,4.2
7,https://github.com/prettier-solidity/prettier-plugin-solidity,https://github.com/chainsafe/lodestar,0.29091816311,0.70908183689,731,75,12,21,4.5,4.0,3.5,4.0,1.2k,317,35,111,4.5,4.8,4.2,4.0
9,https://github.com/prettier-solidity/prettier-plugin-solidity,https://github.com/openzeppelin/openzeppelin-contracts,0.36277160654,0.63722839346,731,75,12,21,4.5,4.0,3.5,4.0,25.2k,11.9k,640,464,4.5,4.8,4.7,4.3
10,https://github.com/prettier-solidity/prettier-plugin-solidity,https://github.com/eth-infinitism/account-abstraction,0.34421922095,0.65578077905,731,75,12,21,4.5,4.0,3.5,4.0,1.6k,675,39,25,3.5,4.0,3.0,3.5
11,https://github.com/prettier-solidity/prettier-plugin-solidity,https://github.com/crate-crypto/go-ipa,0.71718625550,0.28281374450,731,75,12,21,4.5,4.0,3.5,4.0,33,14,3,3,4.0,4.5,3.0,3.5
12,https://github.com/prettier-solidity/prettier-plugin-solidity,https://github.com/libp2p/go-libp2p,0.23709751360,0.76290248640,731,75,12,21,4.5,4.0,3.5,4.0,6.2k,1.1k,181,214,4.5,4.8,4.2,4.0
14,https://github.com/prettier-solidity/prettier-plugin-solidity,https://github.com/alloy-rs/core,0.54448608300,0.45551391700,731,75,12,21,4.5,4.0,3.5,4.0,818,167,22,66,4.5,4.8,4.2,4.0
16,https://github.com/prysmaticlabs/prysm,https://github.com/ethers-io/ethers.js,0.50142507311,0.49857492689,3.5k,1.1k,129,257,4.5,4.8,4.2,4.0,8.1k,1.9k,104,Not explicitly provided in the information.,4.5,4.8,4.2,4.0
17,https://github.com/prysmaticlabs/prysm,https://github.com/nomicfoundation/hardhat,0.68306836544,0.31693163456,3.5k,1.1k,129,257,4.5,4.8,4.2,4.0,7.4k,1.5k,77,373,4.5,4.8,4.7,4.3
19,https://github.com/prysmaticlabs/prysm,https://github.com/prettier-solidity/prettier-plugin-solidity,0.94121853588,0.05878146412,3.5k,1.1k,129,257,4.5,4.8,4.2,4.0,731,75,12,21,4.5,4.0,3.5,4.0
20,https://github.com/prysmaticlabs/prysm,https://github.com/ethereum/solidity,0.99995624210,0.00004375790,3.5k,1.1k,129,257,4.5,4.8,4.2,4.0,23.7k,5.9k,732,636,4.5,4.8,4.7,4.2
21,https://github.com/prysmaticlabs/prysm,https://github.com/ethereum/remix-project,0.99995624210,0.00004375790,3.5k,1.1k,129,257,4.5,4.8,4.2,4.0,2.5k,1k,68,181,4.5,4.8,4.2,4.0
22,https://github.com/prysmaticlabs/prysm,https://github.com/ethereum/go-ethereum,0.76495807570,0.23504192430,3.5k,1.1k,129,257,4.5,4.8,4.2,4.0,48.1k,20.4k,2.2k,"1,111",4.5,4.8,4.7,4.2
24,https://github.com/prysmaticlabs/prysm,https://github.com/bluealloy/revm,0.99918002540,0.00081997460,3.5k,1.1k,129,257,4.5,4.8,4.2,4.0,1.7k,602,30,154,4.5,4.8,4.2,4.0
25,https://github.com/prysmaticlabs/prysm,https://github.com/openzeppelin/openzeppelin-contracts,0.92951415195,0.07048584805,3.5k,1.1k,129,257,4.5,4.8,4.2,4.0,25.2k,11.9k,640,464,4.5,4.8,4.7,4.3
28,https://github.com/sigp/lighthouse,https://github.com/nomicfoundation/hardhat,0.65388466552,0.34611533448,3k,784,70,192,4.5,4.8,4.2,4.0,7.4k,1.5k,77,373,4.5,4.8,4.7,4.3
29,https://github.com/sigp/lighthouse,https://github.com/consensys/teku,0.94084263926,0.05915736074,3k,784,70,192,4.5,4.8,4.2,4.0,692,304,34,109,4.5,4.0,4.0,3.5
35,https://github.com/sigp/lighthouse,https://github.com/bluealloy/revm,0.77814665450,0.22185334550,3k,784,70,192,4.5,4.8,4.2,4.0,1.7k,602,30,154,4.5,4.8,4.2,4.0
